AÑO,MES,DIA,CARBON,NUCLEAR,HIDRAULICA,CICLOCOMBINADO,EOLICA,SOLARTERMICA,SOLARFOTO,COGENERACION,IMPORTACION
2022,JUNIO,18,39600,156127.8,53158.1,173662,198272.4,21368.6,119233.2,97537.5,0
2022,JUNIO,19,33467.6,163815.8,44376.7,94922.1,234703.7,20934.2,115376.9,88275.6,1781.7
2022,JUNIO,20,39480,150969.8,38930.5,273562.6,153967,18639.3,112339.7,98488,0
2022,JUNIO,21,35480,142604,29004.7,333841.3,116750.3,20886.5,108923.9,101354.3,0
2022,JUNIO,22,27480,150507.2,30521.2,362585,103357.3,13470.1,101908.7,99098.7,0
2022,JUNIO,23,24340,166493.2,28173.4,340488,116003.3,18529.8,103217.3,97356.2,0
2022,JUNIO,24,30600,166765,38181.7,190607.2,168917.4,25136.1,124789.9,94891.5,0
2022,JUNIO,25,29662.1,167089,46635.9,158338.4,172341.5,23339.1,116121.5,88259.4,0
2022,JUNIO,26,29916.4,167018.7,42465.9,68680.8,180001,28766.7,129296.8,87417.2,0
2022,JUNIO,27,31080,167024.3,47932.7,94159.2,241778.9,30391.6,125542.7,91526.4,0
2022,JUNIO,28,31080,165400.8,32943.9,275306,115018.8,29453.4,110427.6,92777.5,0
2022,JUNIO,29,31080,167281,40365.5,211262,166036,29771.8,134247.1,90013.8,0
2022,JUNIO,30,23640,166648.8,40894.5,140299.5,221365.3,24660.1,132540.1,89603.3,0
2022,JULIO,01,23640,166715,69536.1,185436.1,152699,28031.3,129877,92378.6,0
2022,JULIO,02,31080,159831.4,47183.6,148021.4,164388.3,28422.6,120137.7,88110.5,0
2022,JULIO,03,27334.2,166403.2,52114.4,111156.7,163550.9,25898.9,113255.3,83349.9,0
2022,JULIO,04,31080,166534.4,38420.4,212479.9,159889.3,25961.6,125768.7,86900.2,0
2022,JULIO,05,31056,166353.6,27077.3,202129.5,225502.7,23712.1,114056.4,89362.2,0
2022,JULIO,06,31056,166382.2,35826.7,151030.6,252292.9,25304.5,114345.8,92588.5,0
2022,JULIO,07,31056,166084.8,30509,114781.9,315978.5,28650,128506.5,90078.5,0
2022,JULIO,08,31056,166281.8,38657.6,153723.5,240468.2,29528.6,129096.8,89092.4,0
2022,JULIO,09,24240,166008.2,40449.6,174542.7,163679.3,29260.3,131820,84755.3,0
2022,JULIO,10,24240,165829.8,32323.5,229252.4,126089,28312.7,129128.7,82895.1,0
2022,JULIO,11,32184,165874.2,36370.2,304288.9,133623.2,28324,121946.6,90349.2,0
2022,JULIO,12,29136,165646.2,35829.4,355975.5,144499.9,25026.1,115495.7,86927.2,0
2022,JULIO,13,19776,165567.2,31480.5,394949.6,123258.6,24630.9,118462.6,84422.1,0
2022,JULIO,14,25796,165374.8,36865,377491.6,147609.9,24976.2,117467.4,82646.3,0
2022,JULIO,15,23740,165376.8,29858.2,382579.2,159481.8,26605.5,119141.9,82232.2,0
2022,JULIO,16,30096,165305.4,30704.9,352037.3,107429.2,26136.3,120176.1,82879.5,0
2022,JULIO,17,26271.3,165400,29652.9,315410.4,121776.5,26031.9,119783.1,80229.7,0
2022,JULIO,18,24978.1,165361.4,30342.9,347826.2,165894.1,26309.1,118278.3,83761.5,0
2022,JULIO,19,29363.4,165036.8,57014,247618,195117.9,26200,125661.2,82973.7,0
2022,JULIO,20,30096,165107,45164.7,294430.1,146561.5,26358.1,129290.5,89590.3,0
2022,JULIO,21,29504,165079.4,39838.8,297447,168186.4,26433.6,125692.1,88173.4,0
2022,JULIO,22,29313.9,165277.4,39239.8,285798.9,182222.5,25878.2,124500.6,86438.9,0
2022,JULIO,23,30096,165295.6,59422.7,233430.8,136752.7,26529.1,126609.8,81463.3,0
2022,JULIO,24,27412.6,165226.6,45039.9,254123.2,116800.4,22638.8,118504.1,79249.9,0
2022,JULIO,25,30336,165202.8,47123.7,264790.3,174748.9,22611.1,118610.3,78832.8,0
2022,JULIO,26,30336,165224.4,36568.6,262487.3,208685.4,25599.1,125234.6,83668.4,0
2022,JULIO,27,24336,165208.8,52658.1,287357.8,168886.6,24467.8,125082.4,83639.9,0
2022,JULIO,28,30336,165539.8,79977.3,275195.9,131032.4,27361.7,125346.2,85247.1,0
2022,JULIO,29,30336,143002.6,42658.9,317556.6,160698.2,26127.9,123162.8,86967.2,0
2022,JULIO,30,30336,163721.4,34347.5,187961.1,215581.1,25101.7,113295.6,82267.8,0
2022,JULIO,31,24955.7,165993.4,34321,188868,171110.9,25299.5,121364.7,78535.4,0
2022,AGOSTO,01,29136,165643,49474.4,281205.7,146456.9,27124.6,122542,77738.5,0
2022,AGOSTO,02,29136,166529.2,54798.4,335919.7,116316.5,26069,120151.8,78517.2,0
2022,AGOSTO,03,30096,164383.4,40800,339313.1,130809,26471.5,119805.5,76113.1,0
2022,AGOSTO,04,19560,165286.4,36689.2,315169.4,174217.6,24022.6,120064,75104.4,0
2022,AGOSTO,05,19560,165193.6,32006.7,290654.5,201686.9,25443.8,120574,75034.3,0
